"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @unknowncorner: @vinod_sharma Why not make a movie on C Company's last stand at Chusool? Asking for approval on Dunkirk a bit like a cro…",FALSE,0,NA,2017-07-24 10:49:46,FALSE,NA,"889437443459624961",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","maskeena79",2,TRUE,FALSE,NA,NA
"2","RT @styIesreifler: lex is making me even more excited to watch Dunkirk https://t.co/jcMpYL977H",FALSE,0,NA,2017-07-24 10:49:43,FALSE,NA,"889437434060001280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","swiftysl",1,TRUE,FALSE,NA,NA
"3","RT @GameGriffin: Shout out to the man in the audience for Dunkirk who turned to his girlfriend + said ""Dunkirk"" when the word 'Dunkirk' cam…",FALSE,0,NA,2017-07-24 10:49:41,FALSE,NA,"889437423679283201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brechindunc",555,TRUE,FALSE,NA,NA
"4","RT @RyanScottGraham: About to see Dunkirk with my mom. Don't @ me.",FALSE,0,NA,2017-07-24 10:49:40,FALSE,NA,"889437421254852608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sassyymikey",131,TRUE,FALSE,NA,NA
"5","RT @Variety: ‘Dunkirk’ Leads Global Box Office With $105.9 Million Debut https://t.co/jwtjX2zBhJ",FALSE,0,NA,2017-07-24 10:49:40,FALSE,NA,"889437417987424256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mameawyang",1536,TRUE,FALSE,NA,NA
"6","Fionn whitehead deserves more recognition and attention for his performance in Dunkirk but yall keep on doing him d… https://t.co/Tx5rD4rusI",FALSE,0,NA,2017-07-24 10:49:39,TRUE,NA,"889437417366634496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","diningtablhes",0,FALSE,FALSE,NA,NA
"7","RT @Emma_Not_Emily: Here's your real title: USA Today Complains About Movie  'Dunkirk' Being Historically Accurate https://t.co/oU37pmscPV",FALSE,0,NA,2017-07-24 10:49:39,FALSE,NA,"889437415902937088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kyledecarloo",1633,TRUE,FALSE,NA,NA
"8","RT @Harry_Styles: Honored to have been a part of this, I hope you love it. 
Dunkirk is out tomorrow. 
See it in IMAX. H https://t.co/ns9xix…",FALSE,0,NA,2017-07-24 10:49:34,FALSE,NA,"889437395644407808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","holllybaigent",133763,TRUE,FALSE,NA,NA
"9","Are all film critics absolute morons? 
Or just this one?

 https://t.co/OdjXpSEZmp via @MailOnline",FALSE,0,NA,2017-07-24 10:49:32,FALSE,NA,"889437386542686208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KekFreePress",0,FALSE,FALSE,NA,NA
"10","Survival is victory.
Christopher Nolan's #Dunkirk is on revue.
Read &amp; share.
Have a great week! 
https://t.co/fBzffJc3rV",FALSE,0,NA,2017-07-24 10:49:32,FALSE,NA,"889437386089930752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThaRevue",0,FALSE,FALSE,NA,NA
"11","A 97-year-old ‘Dunkirk’ survivor laments current state of the world: ‘It never ends’ https://t.co/MFLh4JSbBG",FALSE,0,NA,2017-07-24 10:49:31,FALSE,NA,"889437383233601536",NA,"<a href=""http://www.superinhuman.com/badkitty"" rel=""nofollow"">Bad Kitty</a>","cine_monde",0,FALSE,FALSE,NA,NA
"12","RT @MarkSimoneNY: Idiotic US Today attacks 'Dunkirk' for ""a lack of diversity."" Who did they think fought in the  English and German armies?",FALSE,0,NA,2017-07-24 10:49:29,FALSE,NA,"889437375537000448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cuppy1",176,TRUE,FALSE,NA,NA
"13","Theres me thinking he's talking about Dunkirk lol https://t.co/SgyEl9FeRc",FALSE,0,NA,2017-07-24 10:49:27,FALSE,NA,"889437367408504832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","timbrton",0,FALSE,FALSE,NA,NA
"14","RT @GeeksOfColor: 'Dunkirk', 'Girls Trip' and 'Spider-Man: Homecoming' Take Top Three Spots at the Box Office https://t.co/9Rby2CelQG",FALSE,0,NA,2017-07-24 10:49:27,FALSE,NA,"889437363507798016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChildofTheZulu",28,TRUE,FALSE,NA,NA
