"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Channel4News: Dunkirk: accused of leaving out the Indian contribution to the evacuation.

That's the claim from some historians. https:‚Ä¶",FALSE,0,NA,2017-08-04 10:00:15,FALSE,NA,"893411250931200000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrKawashima",347,TRUE,FALSE,NA,NA
"2","Dunkirk Soundtrack We Need Our Army Back Hans Zimmer Official Video: https://t.co/qjR7Ym5qwU via @YouTube",FALSE,0,NA,2017-08-04 10:00:15,FALSE,NA,"893411249769377792",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","MTC_Trailers",0,FALSE,FALSE,NA,NA
"3","Cinema Review: ‚ÄúSee Dunkirk, but savour Land of Mine‚Äù. https://t.co/PcxnYN046V https://t.co/I69TVBImLG",FALSE,0,NA,2017-08-04 10:00:14,FALSE,NA,"893411246711734272",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","totallydublin",0,FALSE,FALSE,NA,NA
"4","Dunkirk Soundtrack Regimental Brothers Hans Zimmer Lorne Balfe Official Video: https://t.co/YbAiqNuptO via @YouTube",FALSE,0,NA,2017-08-04 10:00:13,FALSE,NA,"893411243775725568",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","MTC_Trailers",0,FALSE,FALSE,NA,NA
"5","RT @conalrs74: Odd that Quitlings are calling for #Dunkirk spirit in Brexit when it was actually a disaster a national humiliation. https:/‚Ä¶",FALSE,0,NA,2017-08-04 10:00:13,FALSE,NA,"893411242576158720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","johnrallan",3,TRUE,FALSE,NA,NA
"6","Dunkirk Soundtrack The Oil Hans Zimmer Official Video: https://t.co/ThaT5CpkSV via @YouTube",FALSE,0,NA,2017-08-04 10:00:12,FALSE,NA,"893411236980953088",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","MTC_Trailers",0,FALSE,FALSE,NA,NA
"7","RT @Channel4News: Dunkirk: accused of leaving out the Indian contribution to the evacuation.

That's the claim from some historians. https:‚Ä¶",FALSE,0,NA,2017-08-04 10:00:05,FALSE,NA,"893411209571168256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MzYun",347,TRUE,FALSE,NA,NA
"8","If reading reviews isn't your thing, then give our YouTube take on #Dunkirk and #TheBigSick a look https://t.co/KQQcLe4p3e",FALSE,0,NA,2017-08-04 10:00:01,FALSE,NA,"893411190700994560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","screenmayhem",0,FALSE,FALSE,NA,NA
"9","Movies to see this weekend. Isoken, Dunkirk and B.I.G.",FALSE,0,NA,2017-08-04 10:00:00,FALSE,NA,"893411187957927936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GirlNextFlat",0,FALSE,FALSE,NA,NA
"10","Semalam post call tgk dunkirk midnight show. It was the best sleep of my life. Lol",FALSE,0,NA,2017-08-04 09:59:53,FALSE,NA,"893411158610202626",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","padelhakem",0,FALSE,FALSE,NA,NA
"11","RT @KarSohini: Why the lack of Indian and African faces in Dunkirk matters | Sunny Singh https://t.co/nZ8fyuA81u",FALSE,0,NA,2017-08-04 09:59:44,FALSE,NA,"893411121222299649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","diamomingtu1986",1,TRUE,FALSE,NA,NA
"12","RT @Ewan_McIntosh: you'll be happy to hear our dunkirk fan remake is coming along well https://t.co/JqrXaFjoLi",FALSE,0,NA,2017-08-04 09:59:42,FALSE,NA,"893411113785864192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dumpykeys7",19,TRUE,FALSE,NA,NA
"13","The only issue I had with Dunkirk was the story and the way Nolan told it through different time periods. It was kinda confusing",FALSE,0,NA,2017-08-04 09:59:34,FALSE,NA,"893411079069544448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","raja__waleed",0,FALSE,FALSE,NA,NA
"14","Dunkirk was amazing. @HansZimmer should score news items on war and refugee drownings, people might draw a few desperately needed parallels.",FALSE,0,NA,2017-08-04 09:59:23,FALSE,NA,"893411033481609217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KittyConducive",0,FALSE,FALSE,NA,NA
"15","RT @rcolvile: This v good from @iainmartin1, though he misses the 'Nolan ignores the French, which with Brexit looming' column https://t.co‚Ä¶",FALSE,0,NA,2017-08-04 09:59:16,FALSE,NA,"893411004213800960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HarryYorke1",1,TRUE,FALSE,NA,NA
"16","@asmakhan802 Tbh, I was voting for dunkirk, but friends insistedÌ†ΩÌ∏ü. Is jagga jasoos worth downloading, or is that ba‚Ä¶ https://t.co/egOzZskKx8",FALSE,0,"asmakhan802",2017-08-04 09:59:16,TRUE,"893408410544353281","893411002213183488","2754907182","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1SarahK",0,FALSE,FALSE,NA,NA
"17","#Dunkirk is definitely one of the best movies I've EVER watchedÌ†ΩÌ∏ç
Like I couldn't move my eyes from the screen for a second
Good job NolanÌ†ΩÌ±å",FALSE,0,NA,2017-08-04 09:58:54,FALSE,NA,"893410912132116480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brilliant_Moon",0,FALSE,FALSE,NA,NA
"18","RT @TheEconomist: ‚ÄúDunkirk‚Äù feels at once like an art installation and a classic war movie https://t.co/lg8XaXlDab",FALSE,0,NA,2017-08-04 09:58:49,FALSE,NA,"893410889210245120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cillianxmendes",283,TRUE,FALSE,NA,NA
"19","RT @Channel4News: Dunkirk: accused of leaving out the Indian contribution to the evacuation.

That's the claim from some historians. https:‚Ä¶",FALSE,0,NA,2017-08-04 09:58:42,FALSE,NA,"893410860735090688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rosselsewhere",347,TRUE,FALSE,NA,NA
"20","Dunkirk was a great movie. The scale, the scope and the practical effects were amazing, along with the score.. I'd give it a 8.5/10",FALSE,0,NA,2017-08-04 09:58:42,FALSE,NA,"893410859950764032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","raja__waleed",0,FALSE,FALSE,NA,NA
"21","RT @europeangreens: Join us in #Dunkirk for the @EELV summer university where a day dedicated to #Europe will take place on 26 August https‚Ä¶",FALSE,0,NA,2017-08-04 09:58:41,FALSE,NA,"893410856456814593",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","domplancke",5,TRUE,FALSE,NA,NA
"22","How to write a newspaper column on Dunkirk, the film https://t.co/4b2wQfabWs",FALSE,0,NA,2017-08-04 09:58:34,FALSE,NA,"893410825460994052",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","GarethSoye",0,FALSE,FALSE,NA,NA
"23","RT @SharonGriffin3: The story:fighting ratio in the film Dunkirk is wrong. My grandad was there and his story was moving, scary and brave.‚Ä¶",FALSE,0,NA,2017-08-04 09:58:23,FALSE,NA,"893410782154817536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mominasa1986",1,TRUE,FALSE,NA,NA
"24","RT @carxlinv: here's a thread of some of my favorite Christopher Nolan movie scenes because Dunkirk left me amazed: https://t.co/MvT3Iunxwc",FALSE,0,NA,2017-08-04 09:58:23,FALSE,NA,"893410780158111744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","urstrulyadhil",254,TRUE,FALSE,NA,NA
"25","RT @WarnerBrosUK: ‚òÖ‚òÖ‚òÖ‚òÖ‚òÖ - Empire, ‚òÖ‚òÖ‚òÖ‚òÖ‚òÖ - MTV, ‚òÖ‚òÖ‚òÖ‚òÖ‚òÖ- HeyUGuys ‚Äì Don‚Äôt miss the epic action thriller #Dunkirk in cinemas now. https://t.co/‚Ä¶",FALSE,0,NA,2017-08-04 09:58:22,FALSE,NA,"893410775456505856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LollyCruz17",259,TRUE,FALSE,NA,NA
"26","RT @dunkirkmovie: ‚ÄúA breathtaking experience from start to finish.‚Äù Get Tickets: https://t.co/VpzSfqhDsF #Dunkirk https://t.co/JCH6VoGb0R",FALSE,0,NA,2017-08-04 09:58:19,FALSE,NA,"893410763272056832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","andreagp03",1496,TRUE,FALSE,NA,NA
"27","Going to see Dunkirk for the 2nd time today for @bandstellyfilms 's birthday, buzzin",FALSE,0,NA,2017-08-04 09:58:13,FALSE,NA,"893410736923389952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itslucysx",0,FALSE,FALSE,NA,NA
"28","RT @Channel4News: Dunkirk: accused of leaving out the Indian contribution to the evacuation.

That's the claim from some historians. https:‚Ä¶",FALSE,0,NA,2017-08-04 09:58:12,FALSE,NA,"893410735937789952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DoctorYasmin",347,TRUE,FALSE,NA,NA
"29","RT @KhairilAnuar: 9/10  Dunkirk
8.5/10  Spiderman: Homecoming
8.5/10  Baby Driver
6.5/10  Atomic Blonde
6/10 Valerian
3/10  Dark Tower

#Kh‚Ä¶",FALSE,0,NA,2017-08-04 09:58:08,FALSE,NA,"893410717872791552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","palijaaaa",85,TRUE,FALSE,NA,NA
"30","RT @europeangreens: Join us in #Dunkirk for the @EELV summer university where a day dedicated to #Europe will take place on 26 August https‚Ä¶",FALSE,0,NA,2017-08-04 09:58:08,FALSE,NA,"893410717424123905",NA,"<a href=""http://corebird.baedert.org"" rel=""nofollow"">Corebird</a>","Green_Party_md",5,TRUE,FALSE,NA,NA
"31","RT @WarnerBrosUK: ‚òÖ‚òÖ‚òÖ‚òÖ‚òÖ - Empire, ‚òÖ‚òÖ‚òÖ‚òÖ‚òÖ - MTV, ‚òÖ‚òÖ‚òÖ‚òÖ‚òÖ- HeyUGuys ‚Äì Don‚Äôt miss the epic action thriller #Dunkirk in cinemas now. https://t.co/‚Ä¶",FALSE,0,NA,2017-08-04 09:58:05,FALSE,NA,"893410706032279553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HstylesOhboy",259,TRUE,FALSE,NA,NA
"32","RT @adamhlavac: #Dunkirk focuses on the intensity, chaos and confusion of war. It's less about the characters, more about the situation. ht‚Ä¶",FALSE,0,NA,2017-08-04 09:57:57,FALSE,NA,"893410671689334784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SexyJairBear",9,TRUE,FALSE,NA,NA
"33","RT @WarnerBrosUK: ‚òÖ‚òÖ‚òÖ‚òÖ‚òÖ - Empire, ‚òÖ‚òÖ‚òÖ‚òÖ‚òÖ - MTV, ‚òÖ‚òÖ‚òÖ‚òÖ‚òÖ- HeyUGuys ‚Äì Don‚Äôt miss the epic action thriller #Dunkirk in cinemas now. https://t.co/‚Ä¶",FALSE,0,NA,2017-08-04 09:57:49,FALSE,NA,"893410636230791168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ProudOfThemAll",259,TRUE,FALSE,NA,NA
"34","RT @karunanundy: Why is it psychologically necessary to pretend only white men liberated Britain? Excellent, by @sunnysingh_n6 https://t.co‚Ä¶",FALSE,0,NA,2017-08-04 09:57:47,FALSE,NA,"893410629444349952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","johannaberg",22,TRUE,FALSE,NA,NA
"35","@acjimbo going to see Dunkirk at the imax because you said so. No pressure",FALSE,0,"acjimbo",2017-08-04 09:57:40,FALSE,NA,"893410601703178240","70361794","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mccormm67",0,FALSE,FALSE,NA,NA
"36","RT @vuecinemas: Our friends at @getintofilm spoke to @Harry_Styles about experiencing Dunkirk on the big screen. Full interview here https:‚Ä¶",FALSE,0,NA,2017-08-04 09:57:39,FALSE,NA,"893410595151777792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xlovespinosa",518,TRUE,FALSE,NA,NA
"37","RT @Channel4News: Dunkirk: accused of leaving out the Indian contribution to the evacuation.

That's the claim from some historians. https:‚Ä¶",FALSE,0,NA,2017-08-04 09:57:30,FALSE,NA,"893410556216057858",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AishlynY",347,TRUE,FALSE,NA,NA
"38","RT @schotsvrouw: 17yo went to see Dunkirk with his da, and is currently clearing out the basement and making 'bug out' bags for us all. Um.‚Ä¶",FALSE,0,NA,2017-08-04 09:57:14,FALSE,NA,"893410489983750144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mungler",1,TRUE,FALSE,NA,NA
"39","Britain didn‚Äôt fight World War II ‚Äî the British Empire did Opinion | Dunkirk, the War and the Amnesia of the Empire https://t.co/SUPBm0rePR",FALSE,0,NA,2017-08-04 09:57:11,FALSE,NA,"893410479724539904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ronraj777",0,FALSE,FALSE,NA,NA
"40","RT @RobJames68: A new blog by yours truly reflecting on the (ab)uses of history on film https://t.co/zKGtm6PC1b #Dunkirk #war #WWII #film #‚Ä¶",FALSE,0,NA,2017-08-04 09:57:06,FALSE,NA,"893410456165130240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","heatherjochens",5,TRUE,FALSE,NA,NA
"41","RT @JakeQuickenden: Dunkirk was goooood!! And Harry Styles was awesome!! Tom Hardy saved the day... Ì†ΩÌπåÌ†ºÌøº",FALSE,0,NA,2017-08-04 09:56:56,FALSE,NA,"893410416629567488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xlovespinosa",723,TRUE,FALSE,NA,NA
"42","RT @TabloidArtHist: Harry Styles shooting for Dunkirk (dir. Christopher Nolan) c.2017 // Egon Schiele, 'Self Portrait with Physalis' c.1912‚Ä¶",FALSE,0,NA,2017-08-04 09:56:46,FALSE,NA,"893410374476857345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KindKingHarry",517,TRUE,FALSE,NA,NA
"43","RT @antonjbrady: Dunkirk is a masterpiece but I CANT HEAR ANYTHING",FALSE,0,NA,2017-08-04 09:56:43,FALSE,NA,"893410359259746308",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","giakahoma1988",2,TRUE,FALSE,NA,NA
"44","RT @SLATUKIP: James O'Brien attacks notion 'Dunkirk spirit' is needed to make a success of Brexit https://t.co/7qzgWsrE9h",FALSE,0,NA,2017-08-04 09:56:38,FALSE,NA,"893410341362839552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hazelglasgow",2,TRUE,FALSE,NA,NA
"45","RT @ftxlouis: I'm in love with Fionn Whitehead since I saw Dunkirk, tell me I'm not the only one? https://t.co/G7Z38NBhJh",FALSE,0,NA,2017-08-04 09:56:25,FALSE,NA,"893410285264003072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lezizidezayn",42,TRUE,FALSE,NA,NA
"46","RT @IndieWire: 10 Reasons Why 2017 Has Been the Best Summer Movie Season of the Century https://t.co/2ZRXTt0rQm https://t.co/mNRlN16lOE",FALSE,0,NA,2017-08-04 09:56:21,FALSE,NA,"893410270080507904",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","josierosejr",65,TRUE,FALSE,NA,NA
"47","12. Last time you cried? Dunkirk. (Were you expecting that?)",FALSE,0,"PolitiKilter",2017-08-04 09:56:11,FALSE,"893409624073752576","893410226606440448","829989125642022912","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PolitiKilter",0,FALSE,FALSE,NA,NA
"48","Dunkirk 70mm reminded me how much I want to make movies again.",FALSE,0,NA,2017-08-04 09:56:04,FALSE,NA,"893410199557427200",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","jeremypbeasley",0,FALSE,FALSE,NA,NA
"49","RT @isabelgarbutt_: I well wanna see Dunkirk",FALSE,0,NA,2017-08-04 09:55:42,FALSE,NA,"893410106636996608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Caithunt_",1,TRUE,FALSE,NA,NA
"50","RT @Ewan_McIntosh: you'll be happy to hear our dunkirk fan remake is coming along well https://t.co/JqrXaFjoLi",FALSE,0,NA,2017-08-04 09:55:42,FALSE,NA,"893410105064128512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","richardrodsjnr",19,TRUE,FALSE,NA,NA
"51","RT @dunkirkmovie: ‚ÄúA breathtaking experience from start to finish.‚Äù Get Tickets: https://t.co/VpzSfqhDsF #Dunkirk https://t.co/JCH6VoGb0R",FALSE,0,NA,2017-08-04 09:55:39,FALSE,NA,"893410090778320896",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ChamaLouis",1496,TRUE,FALSE,NA,NA
"52","RT @gallagher_anais: Dunkirk is fully a masterpiece. No. Word. Of. A. Lie.",FALSE,0,NA,2017-08-04 09:55:38,FALSE,NA,"893410090182729728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xsophiebushx",63,TRUE,FALSE,NA,NA
"53","@HUTCHfilms Did see Dunkirk last night though. Impeccably crafted, again thin characters but well paced and beautifully shot. Very Nolan.",FALSE,0,"GarethKeogh",2017-08-04 09:55:20,FALSE,"893409875082039296","893410014819479552","59436313","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GarethKeogh",0,FALSE,FALSE,NA,NA
"54","RT @wehaveahulkpod: NEW! We interview @marcbernardin, review ep1-4 of The Defenders (spoiler free) &amp; chat Dunkirk! Download here ‚ñ∫ https://‚Ä¶",FALSE,0,NA,2017-08-04 09:55:13,FALSE,NA,"893409981554470912",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","tomjackpodcast",41,TRUE,FALSE,NA,NA
